IDENTIFIER,NAME,BARCODES,LENGTH,WIDTH,HEIGHT,WEIGHT,DIMENSION_UOM,WEIGHT_UOM
100000000018,Parts-Quick/Eplida 4GB RAM,100000000018,177,104,11,0.046,mm,kg
072782053604,Avery Address Labels,072782053604,294,230,24,1.106,mm,kg
100000000019,Pedigree DentaStix,100000000019,249,240,75,0.822,mm,kg
041388220314,Blistex Mint Balm,041388220314,118,78,22,0.030,mm,kg
8935236000031,Colgate Premier Clean Toothbrush,8935236000031,265,31,29,0.030,mm,kg
X001GODQA1,Flavor Mate No Salt Seasoning 5 pk,X001GODQA1,173,168,85,0.522,mm,kg
070501047514,Rapid Clear Treatment Pads 3 pk,070501047514,223,75,70,0.438,mm,kg
100000000020,Shower Scrub With String,100000000020,148,132,116,0.056,mm,kg
609332817944,e.l.f Lip Stick,609332817944,119,24,23,0.038,mm,kg
850003339177,FLEX GLUE Clear,850003339177,199,42,38,0.140,mm,kg
609332816879,e.l.f CoralCutie Lip Stain 2-bag,609332816879,144,75,25,0.050,mm,kg
609332816831,e.l.f SpiceySienna Lip Stain 2-bag,609332816831,143,77,25,0.050,mm,kg
085317008673,Miconazole Cream,085317008673,151,88,28,0.044,mm,kg
3299060368831,RainBird Sprinkler,3299060368831,189,65,62,0.268,mm,kg
011111614246,Dove Soap,011111614246,88,60,38,0.098,mm,kg
9780374360979,Pout-Pout Fish Book,9780374360979,165,165,21,0.272,mm,kg
323900003613,Vicks VapoRub,323900003613,59,59,59,0.078,mm,kg
100000000021,Maskiss Gold Eye Mask,100000000021,118,116,18,0.034,mm,kg
018214822943,Bacon Flavor Power Puppy Chew,018214822943,146,145,37,0.098,mm,kg
100000000022,R2D2ProtoType,100000000022,119,117,20,0.049,mm,kg
086800160069,Neutrogena CC Cream,086800160069,113,45,21,0.042,mm,kg
193175482983,Multi-Color Electrical Tape,193175482983,78,54,54,0.132,mm,kg
039564014840,PT Clear Funnel,039564014840,325,119,109,0.054,mm,kg
883929686728,Friends Season 4,883929686728,193,138,20,0.146,mm,kg
X003WFUHWR,Hispeka Women's Beanie Hat,X003WFUHWR,397,294,33,0.290,mm,kg
X003WSMUUB,Hispeka Men's Beanie Hat,X003WSMUUB,397,294,33,0.290,mm,kg
041520151407,Smart Living Soft White Led 4 Bulbs,041520151407,178,132,64,0.178,mm,kg
490440614446,One Size Navy Hat,490440614446,287,171,73,0.076,mm,kg
843161100161,Better Homes Wooden Bowl,843161100161,299,299,109,1.182,mm,kg
043168988773,GE Reveal LED Pure Clean Light 2 Bulbs 9w,043168988773,128,125,63,0.096,mm,kg
043168918404,GE Crystal Clear 12 Year Life 40w,043168918404,176,107,56,0.36,mm,kg
LPNRREC6468130,Dollhouse Jean Jacket,LPNRREC6468130,310,297,53,0.415,mm,kg
039800011329,AA 4 Pack Batteries,039800011329,111,92,16,0.102,mm,kg
051141239590,Scotch-Brite Stainless Steel Microfiber Cloths,051141239590,238,121,26,0.048,mm,kg
878190000960,Duck Fun Skin Toy,878190000960,339,189,38,0.038,mm,kg
043000979204,Garlic & Herb Dressing Mix,043000979204,132,77,17,0.048,mm,kg
100000000023,3-Way PVC Joint,100000000023,57,56,55,0.042,mm,kg
X000ZN3N2Z,Fengbao Sink Strainer,X000ZN3N2Z,167,126,32,0.100,mm,kg
662956258241,Rock River Pliers,662956258241,275,88,27,0.232,mm,kg
100000000024,Small Green Bangledesh Shirt,100000000024,253,244,27,0.202,mm,kg
100000000025,Travelon Rain Poncho,100000000025,206,139,42,0.180,mm,kg
019495261087,Dorman Chrome Wheel Nuts,019495261087,193,74,28,0.240,mm,kg
100000000026,Unicorn Plushie,100000000026,274,214,92,0.132,mm,kg
878190000960,Duck Skin Toy In Bag,878190000960,249,143,49,0.042,mm,kg
100000000027,Tire Valves,100000000027,99,80,21,0.034,mm,kg
673419386807,Lego City Race Car,673419386807,146,127,46,0.104,mm,kg
043168506649,Soft White LED 2 Pack,043168506649,145,123,77,0.122,mm,kg
043168991902,Soft White LED 4 Pack,043168991902,178,132,65,0.178,mm,kg
8908002734904,Stainless Steel Mixing Bowl,8908002734904,218,218,127,0.228,mm,kg
769898961083,Men's Own Sponge Set,769898961083,183,113,47,0.044,mm,kg
AUT-US:SSA/102790-20,AutoStore Box 35017,AUT-US:SSA/102790-20,216,163,76,0.448,mm,kg
AUT-US:SSA/102665-2,AutoStore Box 35018,AUT-US:SSA/102665-2,281,149,67,0.268,mm,kg
AUT-US:SSA/103629-23,AutoStore Box 35072,AUT-US:SSA/103629-23,408,226,134,1.80,mm,kg
SSAAU11111,AutoStore Box 35958,SSAAU11111,324,208,171,5.104,mm,kg
074299057854,Single Hot Wheel,074299057854,108,107,37,0.052,mm,kg
196557198410,4-Piece Shot Glass Set,196557198410,114,89,89,0.466,mm,kg
041205760276,Thermos Bonus Storage,041205760276,140,88,87,0.296,mm,kg
027242868663,Sony Comfortable Fit HeadPhones,027242868663,173,48,33,0.034,mm,kg
194164723933,Hanes Tagless Briefs 6-Pack,194164723933,306,180,83,0.430,mm,kg
885785604502,Arrow Drywall Anchor Assortment,885785604502,215,118,30,0.166,mm,kg
100000000028,3-Outlet Extension Cable,100000000028,247,197,43,0.322,mm,kg
99139380,FedEx Padded Pak w/ Tenis Balls,99139380,371,322,77,0.538,mm,kg
026000015592,Elmer's School Glue Sticks,026000015592,212,114,41,0.224,mm,kg
4950190329220,Cat6A 0.5m Lan Cable,4950190329220,211,108,19,0.030,mm,kg
4950190329237,Cat6A 1.0m Lan Cable,4950190329237,209,108,19,0.042,mm,kg
083996085060,Super Start Post Terminals,083996085060,113,92,29,0.236,mm,kg
100000000029,CrystalLight Drink Mix,100000000029,165,75,52,0.106,mm,kg
196557198427,4-Piece Scalloped Shot Glass Set,196557198427,113,112,75,0.462,mm,kg
9780593434383,How the Grinch Stole Christmas Book,9780593434383,288,210,12,0.404,mm,kg
033674159002,Alive! Men's Gummy Vitamins,033674159002,136,72,72,0.316,mm,kg
047469062118,Melatonin 10mg,047469062118,109,49,49,0.046,mm,kg






